flye_asm_1Dt1h_part2Ωcontig_2_1	UniRef100_E8NCL3~K07154	49.7	396	196	2	18	411	17	411	1.87e-117	354
flye_asm_1Dt1h_part2Ωcontig_3_3	UniRef100_A0A142NN80~K01866	91.8	428	35	0	1	428	1	428	5.61e-280	767
flye_asm_1Dt1h_part2Ωcontig_3_7	UniRef100_A0A0M4DMT0~K03088	44.0	407	224	2	2	404	8	414	4.45e-101	313
flye_asm_1Dt1h_part2Ωcontig_3_9	UniRef100_A0A142NQF8~K01755	93.0	473	33	0	1	473	1	473	5.85e-314	857
flye_asm_1Dt1h_part2Ωcontig_3_10	UniRef100_A0A142NNT5~K03402	93.5	168	11	0	8	175	6	173	1.99e-96	282
flye_asm_1Dt1h_part2Ωcontig_3_11	UniRef100_A0A1D7W508~K00611	91.5	307	26	0	1	307	1	307	2.43e-197	548
flye_asm_1Dt1h_part2Ωcontig_3_12	UniRef100_A0A1D7W502~K00821	83.8	400	60	2	6	405	5	399	8.85e-234	648
flye_asm_1Dt1h_part2Ωcontig_3_13	UniRef100_A0A1D7W659~K00930	93.6	326	16	1	8	328	1	326	1.79e-207	575
flye_asm_1Dt1h_part2Ωcontig_3_14	UniRef100_A0A1D7W509~K00620	86.7	392	52	0	1	392	1	392	9.60e-233	645
flye_asm_1Dt1h_part2Ωcontig_3_15	UniRef100_A0A142NN75~K00145	88.6	369	42	0	1	369	5	373	1.10e-232	643
flye_asm_1Dt1h_part2Ωcontig_3_16	UniRef100_A0A1D7W583~K00344	93.5	323	21	0	1	323	1	323	1.51e-218	603
flye_asm_1Dt1h_part2Ωcontig_3_20	UniRef100_C1AVY1~K08194	74.8	429	106	2	5	433	10	436	1.38e-228	638
flye_asm_1Dt1h_part2Ωcontig_3_21	UniRef100_A0A0N9JH02~K01684	78.0	382	84	0	1	382	1	382	2.02e-229	635
flye_asm_1Dt1h_part2Ωcontig_3_22	UniRef100_A0A0K0X0Q5~K01631	56.0	200	88	0	4	203	2	201	1.01e-69	217
flye_asm_1Dt1h_part2Ωcontig_3_23	UniRef100_A0A0K0XF84~K00883	42.5	313	167	7	23	329	5	310	1.73e-66	218
flye_asm_1Dt1h_part2Ωcontig_3_24	UniRef100_G2SHC8~K13641	30.0	250	168	3	14	256	14	263	6.23e-33	127
flye_asm_1Dt1h_part2Ωcontig_3_31	UniRef100_A0A1D7W587~K03688	87.6	671	83	0	1	671	1	671	0.0	1134
flye_asm_1Dt1h_part2Ωcontig_3_32	UniRef100_A0A142NNC6~K21495	76.0	75	18	0	1	75	1	75	2.10e-31	110
flye_asm_1Dt1h_part2Ωcontig_3_33	UniRef100_A0A1D7W548~K07062	74.3	136	35	0	1	136	1	136	4.09e-68	207
flye_asm_1Dt1h_part2Ωcontig_3_39	UniRef100_G7V6D6~K11690	30.1	438	286	8	67	504	8	425	1.63e-51	187
flye_asm_1Dt1h_part2Ωcontig_3_42	UniRef100_Q5QXA1~K01779	46.5	228	122	0	1	228	1	228	9.34e-68	214
flye_asm_1Dt1h_part2Ωcontig_3_46	UniRef100_A0A144MUZ5~K13950	69.2	776	198	8	2	747	13	777	0.0	987
flye_asm_1Dt1h_part2Ωcontig_3_47	UniRef100_U2CY38~K00059	31.7	252	141	7	28	266	6	239	7.07e-15	79.0
flye_asm_1Dt1h_part2Ωcontig_3_48	UniRef100_A0A142NND3~K01890	89.8	861	85	1	1	858	1	861	0.0	1518
flye_asm_1Dt1h_part2Ωcontig_3_49	UniRef100_A0A142NND5~K01889	96.0	347	14	0	1	347	1	347	1.30e-244	671
flye_asm_1Dt1h_part2Ωcontig_3_50	UniRef100_A0A1D7W555~K01652	80.3	543	107	0	1	543	1	543	0.0	875
flye_asm_1Dt1h_part2Ωcontig_3_51	UniRef100_D7A1V8~K08172	41.0	407	235	4	16	421	30	432	4.09e-94	297
flye_asm_1Dt1h_part2Ωcontig_3_52	UniRef100_A0A142NL52~K21034	75.0	1028	243	5	18	1040	5	1023	0.0	1538
flye_asm_1Dt1h_part2Ωcontig_3_59	UniRef100_A0A1J0VTZ0~K07032	58.3	139	56	2	1	138	1	138	3.42e-48	157
flye_asm_1Dt1h_part2Ωcontig_3_61	UniRef100_A0A142NNY1~K03437	89.0	273	30	0	1	273	1	273	3.44e-164	461
flye_asm_1Dt1h_part2Ωcontig_3_62	UniRef100_A0A142NNE2~K02887	98.4	129	2	0	1	129	1	129	5.82e-81	239
